timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777162974957,20,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-2,text,true,,587,137,3,8,http://localhost:8002/restaurants/?q=ramen,20,0,12
1777162974957,20,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-1,text,true,,587,137,3,8,http://localhost:8002/restaurants/?q=ramen,20,0,12
1777162974972,5,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-3,text,true,,587,137,3,8,http://localhost:8002/restaurants/?q=ramen,5,0,0
1777162974991,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-4,text,true,,587,137,1,6,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975021,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-5,text,true,,587,137,1,10,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162975046,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-6,text,true,,587,137,1,12,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162975071,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-7,text,true,,587,137,1,13,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975096,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-8,text,true,,587,137,1,16,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162975118,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-9,text,true,,587,137,1,18,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975145,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-10,text,true,,587,137,1,20,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162974957,202,POST /auth/login,200,OK,Login Load Test 1-1,text,true,,316,249,10,19,http://localhost:8001/auth/login,202,0,12
1777162974957,202,Login for Token,200,OK,Review Submission Load Test 3-1,text,true,,316,249,9,18,http://localhost:8001/auth/login,202,0,12
1777162974964,196,POST /auth/login,200,OK,Login Load Test 1-3,text,true,,316,249,9,18,http://localhost:8001/auth/login,196,0,5
1777162975160,3,POST /reviews/,201,Created,Review Submission Load Test 3-1,text,true,,380,440,9,17,http://localhost:8004/reviews/,3,0,1
1777162975171,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-11,text,true,,587,137,1,19,http://localhost:8002/restaurants/?q=ramen,2,0,1
1777162975196,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-12,text,true,,587,137,1,21,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975222,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-13,text,true,,587,137,1,23,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975246,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-14,text,true,,587,137,1,25,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975267,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-15,text,true,,587,137,1,26,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975291,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-16,text,true,,587,137,1,28,http://localhost:8002/restaurants/?q=ramen,2,0,1
1777162975317,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-17,text,true,,587,137,1,30,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162974957,382,POST /auth/login,200,OK,Login Load Test 1-2,text,true,,316,249,15,30,http://localhost:8001/auth/login,382,0,12
1777162974972,369,Login for Token,200,OK,Review Submission Load Test 3-2,text,true,,316,249,15,30,http://localhost:8001/auth/login,369,0,1
1777162975341,3,POST /reviews/,201,Created,Review Submission Load Test 3-2,text,true,,380,440,15,31,http://localhost:8004/reviews/,3,0,0
1777162975342,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-18,text,true,,587,137,1,30,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162975165,185,POST /auth/login,200,OK,Login Load Test 1-11,text,true,,316,250,15,30,http://localhost:8001/auth/login,185,0,1
1777162975371,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-19,text,true,,587,137,1,32,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975396,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-20,text,true,,587,137,1,34,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162975416,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-21,text,true,,587,137,1,35,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162975446,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-22,text,true,,587,137,1,37,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975466,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-23,text,true,,587,137,1,39,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975492,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-24,text,true,,587,137,1,42,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975521,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-25,text,true,,587,137,1,44,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162975347,188,Login for Token,200,OK,Review Submission Load Test 3-17,text,true,,316,250,22,43,http://localhost:8001/auth/login,188,0,1
1777162975536,4,POST /reviews/,201,Created,Review Submission Load Test 3-17,text,true,,380,440,22,43,http://localhost:8004/reviews/,4,0,0
1777162975542,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-26,text,true,,587,137,1,44,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162975571,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-27,text,true,,587,137,1,47,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975596,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-28,text,true,,587,137,1,49,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975621,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-29,text,true,,587,137,1,51,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975646,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-30,text,true,,587,137,1,53,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975671,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-31,text,true,,587,137,1,55,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162975696,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-32,text,true,,587,137,1,57,http://localhost:8002/restaurants/?q=ramen,4,0,0
1777162975721,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-33,text,true,,587,137,1,59,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975745,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-34,text,true,,587,137,1,61,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975770,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-35,text,true,,587,137,1,62,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975795,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-36,text,true,,587,137,1,64,http://localhost:8002/restaurants/?q=ramen,3,0,1
1777162975820,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-37,text,true,,587,137,1,67,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162975846,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-38,text,true,,587,137,1,69,http://localhost:8002/restaurants/?q=ramen,3,0,0
1777162975867,3,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-39,text,true,,587,137,1,70,http://localhost:8002/restaurants/?q=ramen,3,0,0
