timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777162950862,19,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-1,text,true,,587,137,2,6,http://localhost:8002/restaurants/?q=ramen,19,0,12
1777162950862,19,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-2,text,true,,587,137,2,6,http://localhost:8002/restaurants/?q=ramen,19,0,11
1777162950886,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-3,text,true,,587,137,1,6,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162950919,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-4,text,true,,587,137,1,7,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162950951,4,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-5,text,true,,587,137,1,10,http://localhost:8002/restaurants/?q=ramen,4,0,1
1777162950981,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-6,text,true,,587,137,1,11,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162951017,1,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-7,text,true,,587,137,1,13,http://localhost:8002/restaurants/?q=ramen,1,0,0
1777162951050,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-8,text,true,,587,137,1,15,http://localhost:8002/restaurants/?q=ramen,2,0,1
1777162950862,206,POST /auth/login,200,OK,Login Load Test 1-1,text,true,,316,249,8,15,http://localhost:8001/auth/login,206,0,12
1777162950888,191,POST /auth/login,200,OK,Login Load Test 1-3,text,true,,316,249,7,16,http://localhost:8001/auth/login,191,0,0
1777162951079,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-9,text,true,,587,137,1,15,http://localhost:8002/restaurants/?q=ramen,2,0,1
1777162950909,193,Login for Token,200,OK,Review Submission Load Test 3-3,text,true,,316,249,8,15,http://localhost:8001/auth/login,193,0,0
1777162951103,2,POST /reviews/,201,Created,Review Submission Load Test 3-3,text,true,,380,440,9,16,http://localhost:8004/reviews/,2,0,0
1777162951111,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-10,text,true,,587,137,1,16,http://localhost:8002/restaurants/?q=ramen,2,0,1
1777162951143,1,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-11,text,true,,587,137,1,18,http://localhost:8002/restaurants/?q=ramen,1,0,0
1777162951182,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-12,text,true,,587,137,1,20,http://localhost:8002/restaurants/?q=ramen,2,0,1
1777162951215,2,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-13,text,true,,587,137,1,23,http://localhost:8002/restaurants/?q=ramen,2,0,0
1777162951247,1,GET /restaurants?q=ramen,200,OK,Restaurant Search Load Test 2-14,text,true,,587,137,1,25,http://localhost:8002/restaurants/?q=ramen,1,0,0
1777162951074,189,Login for Token,200,OK,Review Submission Load Test 3-8,text,true,,316,250,12,24,http://localhost:8001/auth/login,189,0,1
1777162951264,2,POST /reviews/,201,Created,Review Submission Load Test 3-8,text,true,,380,440,12,24,http://localhost:8004/reviews/,2,0,0
